,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
1365,11.0,7.0,2.0,958.6747,1.0,22.0,1.0,EE,12.0,,7.0,5.0,2.0,1,3.0,UpTo3Years,2To5Years,,,3909.0,0.0,0.0,0.0,0.0,0.0,300.0,4209.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1366,20.0,7.0,2.0,409.0346,1.0,18.0,0.0,EE,2.0,,8.0,2.0,2.0,0,3.0,UpTo4Years,2To5Years,,,9700.0,0.0,0.0,0.0,0.0,0.0,3000.0,12700.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1367,16.0,2.0,2.0,95.8675,1.0,75.0,1.0,EE,3.0,,8.0,3.0,5.0,0,4.0,,MoreThan25Years,,,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1368,20.0,2.0,2.0,575.2048,1.0,26.0,0.0,EE,9.0,,0.0,4.0,2.0,0,3.0,UpTo5Years,5To10Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,1400.0,12900.0,0.0,0.0,0.0,0.0,0.0,20.0,True,2.0,217.2995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1369,10.0,4.0,2.0,319.5582,1.0,23.0,0.0,EE,4.0,,0.0,4.0,2.0,0,3.0,,5To10Years,,,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1370,11.0,5.0,2.0,798.8956,1.0,33.0,1.0,EE,20.0,,8.0,4.0,1.0,1,3.0,,5To10Years,,,12000.0,0.0,0.0,0.0,0.0,0.0,300.0,12300.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1371,15.0,6.0,2.0,191.7349,1.0,55.0,1.0,EE,20.0,,6.0,3.0,2.0,0,3.0,,MoreThan25Years,,,6000.0,0.0,0.0,0.0,0.0,0.0,2000.0,8000.0,0.0,0.0,0.0,0.0,0.0,10.0,True,2.0,361.0983,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1372,14.0,1.0,2.0,127.8233,1.0,19.0,0.0,EE,2.0,,4.0,1.0,3.0,0,,,2To5Years,,,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,24.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1373,9.0,2.0,2.0,319.5582,1.0,37.0,0.0,EE,3.0,,7.0,5.0,2.0,1,3.0,UpTo1Year,15To25Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,4500.0,16000.0,0.0,0.0,0.0,0.0,0.0,11.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1374,12.0,2.0,2.0,95.8675,1.0,18.0,1.0,EE,5.0,,7.0,2.0,1.0,1,,,LessThan2Years,,,3600.0,0.0,0.0,0.0,0.0,0.0,300.0,3900.0,0.0,0.0,0.0,0.0,0.0,13.0,True,1.0,63.9154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
